run,mode,images,repeat_each,requested_physical_attempts,manifest_sha256,wall_ms,pipeline_ms,completed,attempts,accepted,missed,errors,result_signature,cuda_microbatch_size,cuda_microbatch_count,effective_parallel_images,cpu_cuda_label_agreement
1,CPU,50,10,500,536ecd8fa98166cb9660e2483fc0837d0564e037ffbc8d4eb3655dd424efda03,62080.363000015495,61461.64530000533,50,500,50,0,0,3565ed6370d4198bbdbe90b83755da9aa501248ce088367c5c56b055cb573e43,0,0,1.0,1.0
1,CUDA,50,10,500,536ecd8fa98166cb9660e2483fc0837d0564e037ffbc8d4eb3655dd424efda03,12321.790299989516,11460.517700004857,50,500,50,0,0,3565ed6370d4198bbdbe90b83755da9aa501248ce088367c5c56b055cb573e43,500,1,500.0,1.0
